name,template_id,original_price,sale_price,variants
Randy Baker,180,738.05,366.52,"{""Color"": ""orange"", ""Material"": ""plastic""}"
Jeffrey Reyes,100,913.42,114.5,"{""Color"": ""green"", ""Material"": ""inox""}"
Krystal Thomas,96,279.49,940.93,"{""Color"": ""red"", ""Material"": ""inox""}"
Joseph Taylor,117,316.51,880.94,"{""Color"": ""white"", ""Material"": ""inox""}"
Erin Rios,182,285.31,480.48,"{""Color"": ""blue"", ""Material"": ""aluminum""}"
Jeffrey Chen,111,971.0,1197.26,"{""Color"": ""white"", ""Material"": ""inox""}"
Carrie Rodriguez,120,627.58,1116.83,"{""Color"": ""blue"", ""Material"": ""plastic""}"
Kathleen Hunter,84,883.81,1068.69,"{""Color"": ""red"", ""Material"": ""inox""}"
David Williams,83,555.55,637.15,"{""Color"": ""black"", ""Material"": ""silver""}"
Frederick Odonnell,20,196.84,1174.81,"{""Color"": ""green"", ""Material"": ""inox""}"
Jeff Valdez,115,580.43,1314.87,"{""Color"": ""white"", ""Material"": ""aluminum""}"
Dwayne Torres,127,543.66,114.72,"{""Color"": ""white"", ""Material"": ""gold""}"
Matthew Price,107,182.61,1704.73,"{""Color"": ""white"", ""Material"": ""aluminum""}"
Lori Byrd,173,161.82,1736.45,"{""Color"": ""green"", ""Material"": ""aluminum""}"
Ronald Baker,99,846.18,836.8,"{""Color"": ""black"", ""Material"": ""plastic""}"
Jerry Parker,63,918.65,1833.86,"{""Color"": ""blue"", ""Material"": ""silver""}"
Bryan Rivera,48,963.9,1196.3,"{""Color"": ""black"", ""Material"": ""plastic""}"
Whitney Morrison,115,841.31,1693.78,"{""Color"": ""white"", ""Material"": ""plastic""}"
Brian Stewart,127,622.26,1202.53,"{""Color"": ""black"", ""Material"": ""plastic""}"
Valerie Cruz,29,867.31,1062.96,"{""Color"": ""blue"", ""Material"": ""plastic""}"
William Schmitt,90,333.26,1030.36,"{""Color"": ""red"", ""Material"": ""aluminum""}"
Joshua Haas,191,272.21,243.21,"{""Color"": ""green"", ""Material"": ""silver""}"
Ronald Martinez,121,542.29,232.86,"{""Color"": ""orange"", ""Material"": ""aluminum""}"
Jonathan Tucker,170,960.46,1757.95,"{""Color"": ""blue"", ""Material"": ""silver""}"
Robert Gallegos,164,866.58,749.35,"{""Color"": ""blue"", ""Material"": ""silver""}"
Oscar Spencer,164,690.62,1614.82,"{""Color"": ""blue"", ""Material"": ""gold""}"
Ashlee Hansen,153,550.99,528.6,"{""Color"": ""green"", ""Material"": ""plastic""}"
Michelle Mueller,66,678.43,1777.68,"{""Color"": ""black"", ""Material"": ""gold""}"
John Reed,157,237.94,806.1,"{""Color"": ""green"", ""Material"": ""plastic""}"
Nathan Hogan,108,760.95,1714.12,"{""Color"": ""red"", ""Material"": ""aluminum""}"
Gerald Reeves,106,883.79,722.28,"{""Color"": ""orange"", ""Material"": ""aluminum""}"
Taylor Haynes,156,801.87,344.34,"{""Color"": ""red"", ""Material"": ""plastic""}"
Jason Montoya,76,162.91,1746.57,"{""Color"": ""red"", ""Material"": ""plastic""}"
Kylie Sullivan,78,170.68,271.3,"{""Color"": ""red"", ""Material"": ""inox""}"
Robert Landry,22,610.84,1052.75,"{""Color"": ""black"", ""Material"": ""silver""}"
Andrew Rogers,56,534.77,1053.23,"{""Color"": ""red"", ""Material"": ""plastic""}"
Brittany Trujillo,11,952.52,509.76,"{""Color"": ""orange"", ""Material"": ""aluminum""}"
Marcus Barker,145,629.0,918.74,"{""Color"": ""black"", ""Material"": ""silver""}"
John Powell,54,455.93,1446.55,"{""Color"": ""white"", ""Material"": ""plastic""}"
Todd Daniel,198,625.41,329.03,"{""Color"": ""blue"", ""Material"": ""inox""}"
Donald Elliott,140,165.83,1663.5,"{""Color"": ""red"", ""Material"": ""plastic""}"
Leonard Hayes,53,404.15,137.25,"{""Color"": ""black"", ""Material"": ""gold""}"
Shannon Garza,32,105.59,579.64,"{""Color"": ""black"", ""Material"": ""silver""}"
Nicole Murray,148,897.7,1143.52,"{""Color"": ""blue"", ""Material"": ""silver""}"
Michael Adams,73,652.1,1574.37,"{""Color"": ""green"", ""Material"": ""silver""}"
Daniel Kirby,41,181.98,1608.67,"{""Color"": ""red"", ""Material"": ""inox""}"
Allison Martin,127,744.27,1852.66,"{""Color"": ""white"", ""Material"": ""silver""}"
Gabriel Walker,118,899.95,1620.78,"{""Color"": ""black"", ""Material"": ""inox""}"
Brian Thomas,157,405.8,1693.08,"{""Color"": ""red"", ""Material"": ""aluminum""}"
Andrew Rodriguez,164,910.52,1705.3,"{""Color"": ""green"", ""Material"": ""aluminum""}"
Sarah Powers,176,689.25,1223.49,"{""Color"": ""black"", ""Material"": ""inox""}"
David Price,87,453.16,1902.47,"{""Color"": ""black"", ""Material"": ""silver""}"
Rachel Moyer,158,821.53,568.14,"{""Color"": ""red"", ""Material"": ""silver""}"
Cynthia Young,108,345.26,1686.52,"{""Color"": ""green"", ""Material"": ""inox""}"
Natalie Barnes,130,672.18,1041.88,"{""Color"": ""black"", ""Material"": ""gold""}"
Linda Hernandez,150,482.05,1451.59,"{""Color"": ""white"", ""Material"": ""silver""}"
Jimmy Perez,139,113.08,1140.88,"{""Color"": ""blue"", ""Material"": ""gold""}"
Shawn Rodgers,113,644.26,900.76,"{""Color"": ""white"", ""Material"": ""silver""}"
Jeremy Figueroa,93,524.5,1091.67,"{""Color"": ""orange"", ""Material"": ""aluminum""}"
Krystal Wheeler,55,380.13,1220.67,"{""Color"": ""white"", ""Material"": ""aluminum""}"
Dr. John Tucker MD,2,269.89,350.48,"{""Color"": ""green"", ""Material"": ""plastic""}"
Lori Stevens,195,582.15,806.07,"{""Color"": ""red"", ""Material"": ""inox""}"
Abigail Mcdaniel,152,554.45,473.17,"{""Color"": ""orange"", ""Material"": ""aluminum""}"
Andrea Hickman,141,111.17,1364.72,"{""Color"": ""blue"", ""Material"": ""silver""}"
David Johnson,134,833.12,340.81,"{""Color"": ""white"", ""Material"": ""silver""}"
Rebecca Hickman,114,719.26,1912.01,"{""Color"": ""black"", ""Material"": ""gold""}"
David Mccormick,112,594.6,919.73,"{""Color"": ""red"", ""Material"": ""plastic""}"
Frank Garza,17,119.7,435.9,"{""Color"": ""green"", ""Material"": ""plastic""}"
Tammy Andrews,153,501.5,1857.07,"{""Color"": ""blue"", ""Material"": ""inox""}"
Stephanie Howard,15,930.29,736.46,"{""Color"": ""red"", ""Material"": ""plastic""}"
Paula Jordan,30,785.57,393.83,"{""Color"": ""blue"", ""Material"": ""inox""}"
Paul Hayes,95,607.44,1597.35,"{""Color"": ""white"", ""Material"": ""inox""}"
Jasmine Perez,192,399.98,163.41,"{""Color"": ""green"", ""Material"": ""inox""}"
